Measure,5th,10th,25th,50th,75th,90th,95th
v,3.0,3.0,5.0,7.0,7.0,8.0,8.0
f,1.0,1.0,2.0,3.0,4.0,4.0,4.0
r,1.0,2.0,3.0,4.0,4.0,4.0,4.0
