age_group,5th,10th,25th,50th,75th,90th,95th
18-25 years old,2.85,3.0,4.25,6.0,7.0,8.0,8.0
26-35 years old,3.0,3.0,4.0,6.0,7.0,8.0,8.0
36-50 years old,2.0,3.0,5.0,7.0,7.0,8.0,8.0
Over 50 years old,3.3,4.6,6.0,7.0,8.0,8.0,8.0
